2.2247 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
155.0454 	EXP 	window1: recordFrameIntervals = False
156.0447 	EXP 	fixation: autoDraw = True
157.0446 	EXP 	fixation: autoDraw = False
157.0446 	EXP 	grating: autoDraw = True
157.0446 	EXP 	grating: tex = 'sin'
157.3438 	EXP 	grating: autoDraw = False
157.4293 	EXP 	window1: recordFrameIntervals = False
157.4307 	DATA 	Keypress: right
157.4437 	EXP 	fixation: autoDraw = False
157.4437 	EXP 	grating: autoDraw = False
157.4440 	EXP 	window1: recordFrameIntervals = False
158.4430 	EXP 	fixation: autoDraw = True
159.4426 	EXP 	fixation: autoDraw = False
159.4426 	EXP 	grating: autoDraw = True
159.4426 	EXP 	grating: tex = 'sin'
159.7427 	EXP 	grating: autoDraw = False
